contraente_key,classificazione,regola,occorrenze
I.TEC S.R.L.,organization,org_srl,1
IACOBONI MAURO,non_classificato,nessun_segnale_esplicito,2
IBM ITALIA S.P.A,organization,org_spa,1
ICG S.R.L,organization,org_srl,1
ICOVER ISTITUTO COLLAUDI E VERIFICHE S.P.A.,organization,org_spa,2
ICR IMPIANTI E COSTRUZIONI S.R.L,organization,org_srl,1
ICR S.P.A,organization,org_spa,1
ICT LEGAL CONSULTING - STUDIO LEGALE ASSOCIATO BALBONI,non_classificato,nessun_segnale_esplicito,1
IDEA IT,non_classificato,nessun_segnale_esplicito,1
IDEALSERVICES SOC.COOP,non_classificato,nessun_segnale_esplicito,1
IDONEO,non_classificato,nessun_segnale_esplicito,1
IDRO SERVICCE,non_classificato,nessun_segnale_esplicito,1
IDROSERVICE GROUP S.R.L.S.,organization,org_srl,1
IDROTERMICA PG S.R.L.,organization,org_srl,1
IG ITALIA SRLS,organization,org_srl,2
IGP DECAUX S,non_classificato,nessun_segnale_esplicito,3
IGPDECAUX SPA,organization,org_spa,1
IL FERRO BATTUTO DI SIGNORINI FRANCESCO,non_classificato,nessun_segnale_esplicito,1
IL FOGLIO QUOTIDIANO SOCIETA' COOPERATIVA,organization,org_cooperativa,1
IL GLOBO VIGILANZA SRL,organization,org_srl,2
ILDER BERTANI (BIEMME STUDIO,non_classificato,nessun_segnale_esplicito,1
IMAR ITALIA SRL,organization,org_srl,1
IMEC SERVICE SRL,organization,org_srl,5
IMECO S,non_classificato,nessun_segnale_esplicito,1
IMPIANTI ELETTRICI LU.MI S.R.L.,organization,org_srl,1
IMPIANTISTICA TRIESTINA DI SVETINA IGOR,non_classificato,nessun_segnale_esplicito,1
IMPRESA INDIVIDUALE DOTT.SS,organization,org_ditta_impresa,1
IMQ SPA,organization,org_spa,1
IN FASE DI RICHIESTA DI PREVENTIVO,non_classificato,nessun_segnale_esplicito,2
IN LINEA CON LE DISPOSIZIONI DEL D.LGS. N. 36/2023,non_classificato,nessun_segnale_esplicito,2
IN OFFICE S.R.L.,organization,org_srl,1
IN POSS,non_classificato,nessun_segnale_esplicito,3
IN SITU S.R.L.,organization,org_srl,1
INDICATI NELLE FATTURE AVVERRÀ ENTRO IL TERMINE DI 30 GIORNI,non_classificato,nessun_segnale_esplicito,5
INDIVIDUALE,non_classificato,nessun_segnale_esplicito,1
INDIVIDUALE ARTIGIANA MAURIZIO SPA,organization,org_spa,1
INDIVIDUATO NEL RISPETTO DEL PRINCIPIO DI ROTAZIONE È LA DOTT.SS,non_classificato,nessun_segnale_esplicito,1
"INDIVIDUATO, È IN POSS",non_classificato,nessun_segnale_esplicito,1
INDOOR AMBIENTE S.R.L.,organization,org_srl,1
INDUSTRIA01 DI BICE GUASTELLA E SARAH BERSANI SNC,organization,org_snc,1
INFOCAMERE,non_classificato,nessun_segnale_esplicito,2
INFOCAMERE S.C.P.A DEL SERVIZIO DI ABBONAMENTO,non_classificato,nessun_segnale_esplicito,1
INFOCERT S.P.A.,organization,org_spa,1
INFOCERT SPA,organization,org_spa,3
INFOCONGRESS S.R.L,organization,org_srl,1
INFORDATA S.P.A.,organization,org_spa,2
INFORMA MARKETS JAPAN CO,non_classificato,nessun_segnale_esplicito,1
INFORMATIC ALL SRL,organization,org_srl,1
INFORMATICA SYSTEM,non_classificato,nessun_segnale_esplicito,1
INFOSTAR S.R.L.,organization,org_srl,1
INFRASTRUTTURE MILANO CORTINA 202- 2026 S.P.A.,organization,org_spa,1
INFRASTRUTTURE MILANO CORTINA 2020-2026 S.P.A.,organization,org_spa,21
INFRASTRUTTURE MILANO CORTINA 2026 S.P.A.,organization,org_spa,6
ING. ADRIANO TIBERI,person,per_ing,1
ING. ALESSANDRO PARISI,person,per_ing,9
ING. AURORA GAROFALO,person,per_ing,1
ING. CONCETTO CAPODICASA,person,per_ing,1
ING. DARIO D’INNOCENZO,person,per_ing,1
ING. DELLE CAVE,person,per_ing,1
ING. DOMENICO MAURIZIO CALTABIANO,person,per_ing,1
ING. ENRICO MARESCA,person,per_ing,1
ING. FABRIZIO SERRENTI,person,per_ing,1
ING. FEDERICO LO BELLO,person,per_ing,1
ING. FLAVIA GALASSI,person,per_ing,1
ING. FLAVIO DE VITO,person,per_ing,2
ING. GIOVANNI CURCURUTO,person,per_ing,1
ING. GIOVANNI MALESCI,person,per_ing,11
ING. GIUSEPPE BOVENZI,person,per_ing,3
ING. GIUSEPPE MAURO,person,per_ing,1
ING. GIUSEPPE SILVESTRI,person,per_ing,1
ING. GUIDUCCI MIRKO,person,per_ing,1
ING. LIBORIO MACALUSO,person,per_ing,1
ING. LISA GIULIANI,person,per_ing,1
ING. LUCA VEGLIANTI,person,per_ing,1
ING. LUIGI TERENZANI,person,per_ing,1
ING. MALESCI GIOVANNI,person,per_ing,5
ING. MARCO BIANCHINI,person,per_ing,3
ING. MARCO VIGNOLO,person,per_ing,2
ING. MARTA NICOLETTI ALTIMARI,person,per_ing,2
ING. MAURIZIO MIELE,person,per_ing,1
ING. ONOFRIO DENNETTA,person,per_ing,1
ING. PIERPAOLO BOSELLI,person,per_ing,1
ING. PIETRO PALLADINO,person,per_ing,1
ING. PIETRO SANTOIEMMA,person,per_ing,1
ING. RICCA ANDREA,person,per_ing,1
ING. ROBERTO FALCONE FUNZIONARIO,person,per_ing,1
ING. SERRENTI FABRIZIO,person,per_ing,1
ING. SIMONE PETRUCCI,person,per_ing,1
ING. STEFANO COLA,person,per_ing,1
ING. UMBERTO LISA,person,per_ing,1
ING. VANESSA PARISI,person,per_ing,1
ING. VANESSA PSAILA,person,per_ing,1
ING. VINCENZO FIDONE,person,per_ing,1
ING. VINCENZO PAPA,person,per_ing,1
ING.STEFANO PAGANI,non_classificato,nessun_segnale_esplicito,1
INGELVA SRL,organization,org_srl,1
INGHILTERRA FELICE,non_classificato,nessun_segnale_esplicito,1
INGROS CARTA GIUSTACCHINI S.P.A.,organization,org_spa,1
INGROSCART S.R.L,organization,org_srl,1
INGROSCART SRL,organization,org_srl,2
INOVA COMUNICAÇÃO,non_classificato,nessun_segnale_esplicito,1
INTEGRA SRL,organization,org_srl,3
INTELLERA CONSULTING S.R.L. MANDATARIA E CAPGEMINI ITALIA S.P.A. – HSPI S.P.A. – TELECONSYS S.P.A,organization,org_srl,1
INTERECO SERVIZI SRL,organization,org_srl,1
INTERFIERE SRL,organization,org_srl,1
INTERNATIONAL ACADEMY LAB SRL,organization,org_srl,1
INTERPRETI TRADUTTORI MEDIATORI S.R.L.,organization,org_srl,1
INTERSYSTEM SRL,organization,org_srl,1
INTERSYSTEM SRL IN DATA 09/10/2025,organization,org_srl,1
INTERVENTI DI ALLACCAIMENTO IMPIANTO FOTOVOLTAICO - PAG I SAL,non_classificato,nessun_segnale_esplicito,1
INTINI NICOLA SPORT PROJECT,non_classificato,nessun_segnale_esplicito,1
INVERSO S,non_classificato,nessun_segnale_esplicito,3
INVISIBLEFARM SRL,organization,org_srl,1
INVITALIA,non_classificato,nessun_segnale_esplicito,1
IPERVERDE SRL,organization,org_srl,1
IPM (INTEGRATED PROJECTS MANAGEMENT SRL,organization,org_srl,1
IRMES SRL,organization,org_srl,1
IRTET S.R.L.,organization,org_srl,1
ISNG SRL,organization,org_srl,1
ISTITUTO DI VIGILANZA PRIVATA TURRIS SRL,organization,org_srl,1
ISTITUTO PIEPOLI S.R.L.,organization,org_srl,1
ISTITUTO POLIGRAFICO E ZECCA DELLO STATO,non_classificato,nessun_segnale_esplicito,1
ISTITUTO POLIGRAFICO E ZECCA DELLO STATO S.P.A.,organization,org_spa,1
ITAGILE S.R.L.(ORA SBITALIA SRL) SUL ME.PA,organization,org_srl,1
ITALARCHIVI S.R.L.,organization,org_srl,1
ITALIACAMP S.R.L,organization,org_srl,1
ITALPOL VIGILANZA S.R.L.,organization,org_srl,1
ITALPONTI SRL,organization,org_srl,1
ITALRESCUE S.R.L,organization,org_srl,1
ITC SERVICE SRL,organization,org_srl,1
ITEC SISTEMI SRL,organization,org_srl,1
IVANO DIANA DITTA INDIVIDUALE,organization,org_ditta_impresa,1
J-SORE DISTRIBUZIONE S.R.L. È RISULTATA ESSERE L’UNICA DISPONIBILE SIA,organization,org_srl,1
JEAN CLAUDE JOSEPH SALIBA,non_classificato,nessun_segnale_esplicito,1
JHANISE SRL,organization,org_srl,1
JUMBO SYSTEM S.R.L.,organization,org_srl,1
JUMP SRL,organization,org_srl,1
K-CHANGE S.R.L.,organization,org_srl,1
KARALIS NON SOLO TENDE DI CIMINIELLO FORTUNATO,non_classificato,nessun_segnale_esplicito,1
KEY DATA SRL,organization,org_srl,1
KIBRIT & CALCE S.R.L.,organization,org_srl,1
KINTSUGI EVENTS SRL,organization,org_srl,1
KOMBO SRLS,organization,org_srl,1
KORA SISTEMI INFORMATICI SRL,organization,org_srl,1
KOSMOS SRL,organization,org_srl,2
KPMG ADVISORY SPA,organization,org_spa,1
KRATOS SPA,organization,org_spa,1
KYOCERA DOCUMENT SOLUTION S.P.A,organization,org_spa,2
KYOCERA DOCUMENT SOLUTIONS ITALIA S.P.A,organization,org_spa,1
KYOCERA DOCUMENT SOLUTIONS ITALIA S.P.A.,organization,org_spa,4
KYOWON TOUR CO,non_classificato,nessun_segnale_esplicito,1
L'A GOURMET L'ACCADEMIA SRL,organization,org_srl,1
L'AQUILA - EX PALAZZO DEL LITTORIO - PAG SALDO PROGETTAZIONE PFTE,non_classificato,nessun_segnale_esplicito,1
L'ERMA DI BRETSCHNEIDER SRL,organization,org_srl,1
L'IDEA C'E' ... SOCIETA' MULTISERVIZI SNC,organization,org_snc,1
L.L.C. SAS,organization,org_sas,1
LA CARTUCCIA S.R.L.,organization,org_srl,3
LA CARTUCCIA SRL,organization,org_srl,1
LA CRISTALLINA SERVICES S.R.L,organization,org_srl,1
LA FOGLIA DEL TE COOPERATIVA,organization,org_cooperativa,1
LA GRANDE CUCINA - SOCIETA' PER AZIONI,organization,org_societa_generica,1
LA GRIFFE S.R.L,organization,org_srl,1
LA SAN GIOVANNI SOCIETÀ COOP. SOCIALE ONLUS,organization,org_coop_abbrev,1
"LA SCRITTURA PRIVATA, PER REGOLARE LE PRESTAZIONI PROFESS",non_classificato,nessun_segnale_esplicito,1
LA SICUREZZA NOTTURNA S.R.L.,organization,org_srl,1
LA VENETA SERVIZI SPA,organization,org_spa,1
LABINF SISTEMI S.R.L,organization,org_srl,1
LABORATORIO ANALISI CLINICHE BAIATA,non_classificato,nessun_segnale_esplicito,1
LABORATORIO ANALISI PERUGINI,non_classificato,nessun_segnale_esplicito,1
LABORATORIO TECNOLOGICO CALABRESE S.R.L.,organization,org_srl,1
LABORTEST S.R.L,organization,org_srl,1
LADAMA S.R.L.,organization,org_srl,1
LAFELTRINELLI INTERNET BOOKSHOP S.R.L,organization,org_srl,1
LAND S.R.L.,organization,org_srl,1
LASER TEAM S,non_classificato,nessun_segnale_esplicito,1
LASTARCH S.R.L.,organization,org_srl,1
LAZIO MACERI,non_classificato,nessun_segnale_esplicito,1
LE PREDETTE PENALI SINO AL MOMENTO IN CUI IL CONTRATTO INIZIERÀ AD ESS,non_classificato,nessun_segnale_esplicito,1
LEADER SRL,organization,org_srl,2
LEGANCE ASSOCIATI,non_classificato,nessun_segnale_esplicito,1
LEGATORIA RESTAURO BOLDRINI ALDO SRL,organization,org_srl,1
LEGENDS OWO LLC,non_classificato,nessun_segnale_esplicito,1
LEGNOLANDIA GROUP S.R.L.,organization,org_srl,1
LEYBOLD ITALIA S.R.L,organization,org_srl,1
LIBRERIA KAPPA DI CAPPABIANCA RICCARDO,non_classificato,nessun_segnale_esplicito,1
LIBRERIA P. TOMBOLINI DI CARLA SARTORI TOMBOLINI E C. S.A.S.,organization,org_sas,1
LIBRERIA P. TOMBOLINI E C SAS,organization,org_sas,1
LIBRERIA P.TOMBOLINI DI CARLA SARTORI TOMBOLINI E C. S.A.S.,organization,org_sas,1
LIBRERIA PATIERNO SRL,organization,org_srl,1
LIFE TECHNOLOGIES ITALIA,non_classificato,nessun_segnale_esplicito,1
LIFE TECHNOLOGIES ITALIA SRL,organization,org_srl,1
LINEA UFFICIO INFORMATICA S.R.L,organization,org_srl,1
LINFA DIGITAL SRL,organization,org_srl,1
LINK.IT SRL,organization,org_srl,1
LITOGRAF 2000 SRL,organization,org_srl,1
LIVING CAMERA SRL,organization,org_srl,1
LLA D.SS,non_classificato,nessun_segnale_esplicito,1
LLA ITALIANA PETROLI S.P.A.,organization,org_spa,1
LLA SOCIETÀ ALL OFFICE S.R.L.,organization,org_srl,1
LLA SOCIETÀ CU.CU. CUCINA E CULTURA SOC. COOP,organization,org_societa_generica,1
LO SCALCO SRL,organization,org_srl,1
LO STUDIOLO S,non_classificato,nessun_segnale_esplicito,1
LOGGIA ARREDAMENTI S.R.L,organization,org_srl,1
LONG LIFE SRL,organization,org_srl,1
LOTO SOUND S.R.L.,organization,org_srl,1
LOVERS S.R.L,organization,org_srl,1
LP ENGINEERING SRL,organization,org_srl,1
LSI LASTEM S.R.L.,organization,org_srl,1
LSPARTNERS S.R.L.,organization,org_srl,1
LTA SRL,organization,org_srl,1
LUCA CAMBIASSI DITTA INDIVIDUALE,organization,org_ditta_impresa,1
LUCCARINI S.R.L.,organization,org_srl,1
LUCCHINI E SANNA RESTAURI S,non_classificato,nessun_segnale_esplicito,1
LUCIANA ZAMPROGNA,non_classificato,nessun_segnale_esplicito,1
LUCKY DREAMS SRL,organization,org_srl,1
LUCKY TOWN PTE LTD,non_classificato,nessun_segnale_esplicito,1
LUDO SRL,organization,org_srl,1
LUFO S.R.L.,organization,org_srl,1
LUIGI PEA S.A.S.,organization,org_sas,1
LUIGI SPINA,non_classificato,nessun_segnale_esplicito,1
LUISA LANDI,non_classificato,nessun_segnale_esplicito,1
LUNAROSS,non_classificato,nessun_segnale_esplicito,1
LYBRATECH SRL,organization,org_srl,1
L’ECO DELLA STAMPA S.P.A,organization,org_spa,1
L’ERBAVOGLIO SRL,organization,org_srl,3
M.A.F.I.S. S.R.L.,organization,org_srl,1
M.B.M. EDILIZIA E TECNOLOGIA S.R.L.,organization,org_srl,1
M.E.T.A. SRL,organization,org_srl,1
M.R.M. DIAGNOSI STRUTTURE - STUDIO ASS,non_classificato,nessun_segnale_esplicito,1
M.S.G. SOC. COOP. A R.L.,organization,org_coop_abbrev,1
M.T.S. MORELLI TRASPORTI E SERVIZI S.R.L.,organization,org_srl,1
M.T.S. S.R.L.,organization,org_srl,1
MAD MAX CO. ITALIA S.R.L,organization,org_srl,1
MADDALENA MAYNERI SRLS,organization,org_srl,1
MAESTRI PASTICCERI SRL C.F. [IDENTIFICATIVO PRIVATO RIMOSSO],organization,org_srl,1
MAGGIOLI S.P.A,organization,org_spa,1
MAGGIOLI S.P.A ( PARTITA IVA: 02066400405 – CODICE FISCALE: 06188330150),organization,org_spa,1
MAGGIOLI S.P.A.,organization,org_spa,1
MAGGIOLI SPA,organization,org_spa,1
MAGLIOZZI GROUP S.R.L.,organization,org_srl,2
MAJOR BIT CONSULTING SRL,organization,org_srl,1
MAKHYMO SRL,organization,org_srl,1
MAKROS S.R.L.,organization,org_srl,2
MALIKS BOOKSHOP,non_classificato,nessun_segnale_esplicito,1
MALVESTIO DIEGO & C. S.N.C.,organization,org_snc,1
MAMILO S.R.L.,organization,org_srl,1
MANBY S.R.L.,organization,org_srl,1
MANDARINE,non_classificato,nessun_segnale_esplicito,1
MANDATARIA KPMG,non_classificato,nessun_segnale_esplicito,1
MANPOWER S.R.L,organization,org_srl,1
MANUTAN ITALIA S.P.A.,organization,org_spa,1
MAPS SPA,organization,org_spa,1
MARCO DAMIAN - ZOD,non_classificato,nessun_segnale_esplicito,1
MARCO IANNINI,non_classificato,nessun_segnale_esplicito,1
MARCO TOSATO,non_classificato,nessun_segnale_esplicito,1
MARCONI GIIUSEPPE,non_classificato,nessun_segnale_esplicito,2
MARIA DE ROSA,non_classificato,nessun_segnale_esplicito,1
MARIA GILDA LOIACONO,non_classificato,nessun_segnale_esplicito,1
MARIANI F.LLI SRL,organization,org_srl,1
MARINO PASQUALE,non_classificato,nessun_segnale_esplicito,1
MARINO ROSA,non_classificato,nessun_segnale_esplicito,1
MARINOFFICE SRL,organization,org_srl,1
MARIO BIASIOTTI,non_classificato,nessun_segnale_esplicito,1
MARKAS S.R.L.,organization,org_srl,1
MARNO S.R.L,organization,org_srl,1
MARROCCO ELEVATORS S.R.L,organization,org_srl,1
MARTECH SRL,organization,org_srl,1
MASSIMILIANO PEPE,non_classificato,nessun_segnale_esplicito,1
MATE ANTINCENDIO SRL,organization,org_srl,1
MATERIA S.R.L,organization,org_srl,1
MAURO MAGLIANI,non_classificato,nessun_segnale_esplicito,1
MEC SAN.SERVICE S.R.L.,organization,org_srl,1
MED SECURITY SRL,organization,org_srl,1
MEDGLOX,non_classificato,nessun_segnale_esplicito,1
MEDIA GEAR SRL,organization,org_srl,1
MEDIA PRESS SOCIETA' A RESPONSABILITA' LIMITATA,organization,org_societa_generica,1
MEDIACAR BY ELETTRAUTO GIANNI,non_classificato,nessun_segnale_esplicito,2
MEDIACONSULT,non_classificato,nessun_segnale_esplicito,1
MEDIAEDIT S.R.L,organization,org_srl,2
MEDIAEVENTI S,non_classificato,nessun_segnale_esplicito,2
MEDIAEVENTI S.R.L LA FORNITURA IN ARGOMENTO,organization,org_srl,1
MEDIAEVENTI SRL PER L’IMPORTO DI EURO 3.045,organization,org_srl,1
MEDICASA DI MURA ALBERTO,non_classificato,nessun_segnale_esplicito,1
MEDINOK S.P.A,organization,org_spa,1
MEDISOL S.R.L,organization,org_srl,1
MEDITERRANEA ENGINEERING S.R.L.,organization,org_srl,1
MEDUSA S.R.L.,organization,org_srl,2
MEETING PER L'AMICIZIA FRA I POPOLI ETS,non_classificato,nessun_segnale_esplicito,1
MEETWEB SRL,organization,org_srl,1
MEGABLOK DI PORTOSA RICCARDO,non_classificato,nessun_segnale_esplicito,1
MELE MARCO ADRIANO,non_classificato,nessun_segnale_esplicito,1
MELQART S.R.L.,organization,org_srl,1
MENHIR COMPUTERS DI PAOLONI ANGELA,non_classificato,nessun_segnale_esplicito,1
MENSA E ATTIVITÀ RICREATIVE- PAG I SAL,non_classificato,nessun_segnale_esplicito,1
MERCER ITALIA SRL,organization,org_srl,1
MERCK LIFE SCIENCE S.R.L.,organization,org_srl,1
MERITO S.R.L,organization,org_srl,1
METALMECCANICA FALCONE SRL,organization,org_srl,1
METIS SYSTEMS SRL,organization,org_srl,1
METRO C,non_classificato,nessun_segnale_esplicito,1
MI.PA. COSTRUZIONI EDILI SRL,organization,org_srl,1
MIAR SUB S.R.L,organization,org_srl,1
MICHELETTI SIMONE,non_classificato,nessun_segnale_esplicito,1
MICROCONTROL ELECTRONIC SRL,organization,org_srl,1
MIGARAUR S.R.L.,organization,org_srl,1
MILEXIA ITALIA S.P.A,organization,org_spa,1
MILLE SERVIZI SRL,organization,org_srl,1
MINOPOLI SRL,organization,org_srl,1
MIRAFAN S.R.L,organization,org_srl,1
MIRKO BADIALI,non_classificato,nessun_segnale_esplicito,1
MISTER WIZARD S.R.L.,organization,org_srl,2
MK GLOBAL,non_classificato,nessun_segnale_esplicito,1
MODULGRAF SRL,organization,org_srl,1
MODULI DESIGN DI SERRA ROBERTO,non_classificato,nessun_segnale_esplicito,1
MOLAJONI,non_classificato,nessun_segnale_esplicito,1
MOLINARI S.R.L.,organization,org_srl,1
MOLLO S.R.L.,organization,org_srl,1
MONDOFFICE SRL,organization,org_srl,1
MONGE & C. S.P.A,organization,org_spa,1
MONTEBOVE S.R.L,organization,org_srl,1
MOTISI LIBERTO,non_classificato,nessun_segnale_esplicito,1
MOVESION S.R.L,organization,org_srl,1
MPB S.R.L.,organization,org_srl,1
MR. JOHN’S DI TIRELLI GIOVANNI,non_classificato,nessun_segnale_esplicito,1
MTS SRL,organization,org_srl,2
MULIG S.R.L.,organization,org_srl,5
MVR UFFCIO S.R.L.,organization,org_srl,1
MW SAS,organization,org_sas,1
MY EGO SRL,organization,org_srl,1
MYO S.P.A,organization,org_spa,3
MYO S.P.A.,organization,org_spa,3
MYO SPA,organization,org_spa,7
N.D.,non_classificato,valore_vuoto,4213
N.I.D.O. S.R.L,organization,org_srl,1
N.I.SAN,non_classificato,nessun_segnale_esplicito,1
NADA 2008 SRL,organization,org_srl,2
NAISER BRENTA. S.R.L,organization,org_srl,1
NAMIRIAL S.P.A.,organization,org_spa,1
NAMIRIAL SPA,organization,org_spa,3
ND SOLUTION S.R.L.S.,organization,org_srl,1
NELLE,non_classificato,nessun_segnale_esplicito,1
NEMESI S,non_classificato,nessun_segnale_esplicito,2
NEON ESSE S,non_classificato,nessun_segnale_esplicito,2
NETPHAROS S.R.L.,organization,org_srl,6
NEW BUSINESS,non_classificato,nessun_segnale_esplicito,1
NEW GENERATION SERVICES S.R.L,organization,org_srl,1
NEW SINTESI SRL,organization,org_srl,1
NEW SPLENDOR SERVICE SOC. COOP.,organization,org_coop_abbrev,1
NEW TECHNOLOGY DEVELOPMENT ITALIA S.R.L,organization,org_srl,2
NEXI PAYMENTS,non_classificato,nessun_segnale_esplicito,1
NEXION S.P.A,organization,org_spa,1
NEXION S.P.A.,organization,org_spa,2
NEXION SPA,organization,org_spa,2
NEXTRA PROJECT S.R.L.,organization,org_srl,1
NF IMPIANTI SRL,organization,org_srl,1
NICOLA NEVIO PAGANO INGEGNERE,non_classificato,nessun_segnale_esplicito,2
NIDACO COSTRUZIONI S.R.L.,organization,org_srl,1
NIDO S.R.L.,organization,org_srl,1
NIHON KOHDEN ITALIA S.R.L.,organization,org_srl,1
NIOLA ROSARIO S.R.L.,organization,org_srl,1
NIPPON GASES INDUSTRIAL SRL,organization,org_srl,1
NOCERA SRL,organization,org_srl,3
NOLASCO CRISTIANO,non_classificato,nessun_segnale_esplicito,1
NOOM HOTEL DAKAR SEA PLAZA,non_classificato,nessun_segnale_esplicito,1
NORMA S.R.L.,organization,org_srl,1
NOVADOMUS SRL,organization,org_srl,1
NOVANEXT S.R.L.,organization,org_srl,1
NOVANEXT SOCIETA’ A RESPONSABILITA’ LIMITATA,non_classificato,nessun_segnale_esplicito,1
NOVANEXT SRL,organization,org_srl,1
NSA TICKETING SERVICES S.R.L.,organization,org_srl,1
NSL MEDIA S.R.L.,organization,org_srl,1
NUBIFILM STUDIO SRL,organization,org_srl,1
NUCCI RENATO,non_classificato,nessun_segnale_esplicito,2
NUCO IMMOBILIARE S.R.L,organization,org_srl,1
NUOVA GAROFOLI S.R.L,organization,org_srl,1
NUVOLAPOINT DI FLAJAS ALESSANDRO,non_classificato,nessun_segnale_esplicito,1
O ASS,non_classificato,nessun_segnale_esplicito,1
O DI PRESTARE LA GARANZIA FIDEJUSS,non_classificato,nessun_segnale_esplicito,1
O DITTA TEGLIAFILO COSTRUZIONI S.R.L.,organization,org_srl,1
O.C.A.I. SRL,organization,org_srl,1
OFFICE DEPOT ITALIA SRL,organization,org_srl,1
OFFICINA AUTOSTRADE NORD S.R.L.,organization,org_srl,1
OFFICINA DELLE IDEE SRL,organization,org_srl,1
OFFICINA DELLE IDEE SRL - UNIPERSONALE,organization,org_srl,1
OFFICINA DELL’IMMAGINE DI POSTINI LUCA,non_classificato,nessun_segnale_esplicito,1
OFFICINA LIBRARIA S.R.L,organization,org_srl,1
OFFICINE IADR,non_classificato,nessun_segnale_esplicito,1
OLICOR SRL,organization,org_srl,1
OLIVETTI SPA,organization,org_spa,1
OMNIARCH S.A.S.,organization,org_sas,1
OPEN IMPACT SRL,organization,org_srl,1
OPEN SOLUTION DESIGN SRL,organization,org_srl,1
OPENESS,non_classificato,nessun_segnale_esplicito,1
OPERA LABORATORI FIORENTINI S.P.A.,organization,org_spa,2
OPERA LABORATORI FIORENTINI SPA,organization,org_spa,1
OPERAZIONE S.R.L.,organization,org_srl,1
OPERAZIONE SRL,organization,org_srl,1
OPTIMA CLEAN SRL,organization,org_srl,1
OPUS SYSTEM SRL,organization,org_srl,2
OSK SOFT DI SAMUELE GAGGIOLI,non_classificato,nessun_segnale_esplicito,1
P.G.M. S.R.L. COOP. DI SERVIZI,organization,org_srl,1
PA DIGITALE S,non_classificato,nessun_segnale_esplicito,1
PA INGEGNERIA SRL,organization,org_srl,1
PACE ROCCO,non_classificato,nessun_segnale_esplicito,1
PACKITALIA DI VALENZIANO MARIA,non_classificato,nessun_segnale_esplicito,1
PADANA SERVICE S.R.L,organization,org_srl,1
PADANA SERVICE S.R.L.,organization,org_srl,1
PAG II QUOTA,non_classificato,nessun_segnale_esplicito,1
PAGAMENTO A FAVORE DELLA SOCIETÀ ANTONIO GUERRASIO S.R.L.,organization,org_srl,1
PALITALSOFT SRL,organization,org_srl,1
PALMIOTTA SRL,organization,org_srl,1
PALOMBINI RICEVIMENTI SRL,organization,org_srl,1
PALUCCI FIRE SERVICE DI PALUCCI MARIO,non_classificato,nessun_segnale_esplicito,6
PANASCI & C. S.A.S.,organization,org_sas,1
PANSTUDIO ARCHITETTI ASSOCIATI,non_classificato,nessun_segnale_esplicito,1
PAOLO MURATORI DI A. FERRARI S.R.L,organization,org_srl,1
PAOLO SPOLTORE ARCHITETTO,non_classificato,nessun_segnale_esplicito,1
PAPALINI SPA,organization,org_spa,1
PAPARO S.R.L,organization,org_srl,1
PARTENO PER FORNITURE UFFICIO SRL,organization,org_srl,1
PARTENOPE UFFICIO SRL,organization,org_srl,1
PASTICCERIA PITTORRU EREDI,non_classificato,nessun_segnale_esplicito,1
PATRIZIA DI CATALDO,non_classificato,nessun_segnale_esplicito,1
PELIZZON LUIGI S.R.L.,organization,org_srl,1
PEOPLELINK S.R.L,organization,org_srl,1
PER LA FORNITURA IN RISPOSTA ALLA TRATTATIVA MEPA SUDDETTA,non_classificato,nessun_segnale_esplicito,1
PERANI & PARTNERS S.P.A,organization,org_spa,1
PEREGO A. AUTOFF. GOMMISTA,non_classificato,nessun_segnale_esplicito,2
PERTOT S.R.L.,organization,org_srl,1
PETRUCCI SRL,organization,org_srl,2
PFIZER SERVICE COMPANY BV,non_classificato,nessun_segnale_esplicito,1
PHILIPS SPA,organization,org_spa,1
PIACENTI S.P.A.,organization,org_spa,1
PIEMME ESTINTORI S.R.L.,organization,org_srl,1
PIEMME S,non_classificato,nessun_segnale_esplicito,2
PIEMME SPA,organization,org_spa,1
PIERMARINI FRANCESCO,non_classificato,nessun_segnale_esplicito,1
PIERRESTAMPA S.R.L,organization,org_srl,1
PIESSEPI SRL,organization,org_srl,1
PIETRO STORACE,non_classificato,nessun_segnale_esplicito,1
PIRESTI SRL,organization,org_srl,1
PLANET DIPLOMACY SRLS,organization,org_srl,1
PLANETA STUDIO ASSOCIATO,organization,org_studio_prof,1
PLUG- IN SRL,organization,org_srl,1
PLUG-INP. S.R.L.,organization,org_srl,1
PNRR- PAG COMPENSO AL VI SAL LAVORI,non_classificato,nessun_segnale_esplicito,1
POLIDIAGNOSTICO SADA GROUP,non_classificato,nessun_segnale_esplicito,1
POLITECNICO DI MILANO,non_classificato,nessun_segnale_esplicito,1
POLO STRATEGICO NAZIONALE S.P.A,organization,org_spa,1
PONZI SRL,organization,org_srl,1
PORTUGUESALIA BUSINESS,non_classificato,nessun_segnale_esplicito,1
POSATEC PAVIMENTI,non_classificato,nessun_segnale_esplicito,1
POSTE ITALIANE,non_classificato,nessun_segnale_esplicito,1
POSTE ITALIANE S.P.A.,organization,org_spa,1
POSTE ITALIANE SPA,organization,org_spa,1
PPQSENSE S.R.L,organization,org_srl,1
PRANNO ALFREDO,non_classificato,nessun_segnale_esplicito,1
PREART SRL,organization,org_srl,1
PRICEWATERHOUSECOOP,non_classificato,nessun_segnale_esplicito,1
PRICEWATERHOUSECOOPERS BUSINESS SERVICES S.R.L.,organization,org_srl,1
