relation_type,subject_type,subject_key,object_type,object_key,source_dataset,source_record_id,period,acquisition_date,confidence_note,amount_if_present,ipa,source_url,regola_classificazione
person_awarded_direct_award,person,ING. VANESSA PARISI,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,14ea85257d3619438bdb3585631d58597bbb65bdf98848a58f5a942523d66745,2025-10-02,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,31466.41,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_12453_566_1.html,per_ing
person_awarded_direct_award,person,ARCH. ROBERTA CARRARA,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,e7b266f6abcf0ebdb8d7ce4002021d12188c037429da739daf804557879b16fe,2025-11-11,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,5738.54,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_13768_566_1.html,per_arch
person_awarded_direct_award,person,ING. CONCETTO CAPODICASA,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,d4d413c9ba0d78788d6c2ebf4c1ffc55f13a16850be810290e663ff3d34b396b,2025-11-18,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,7533.22,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_13930_566_1.html,per_ing
organization_awarded_direct_award,organization,ZETAELLE SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,793c40c064308887edcccfb8f054557f3de979d292bbc3e95b63af6999f7e5a3,2025-12-17,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,47448.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_15064_566_1.html,org_srl
organization_awarded_direct_award,organization,SO.GE.DI.CO. SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,229d02898a1c4e77cd37c592fdbcaa3f6f879d786e2dbfc10fb56232b07418a2,2025-12-19,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,6900.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_15306_566_1.html,org_srl
organization_awarded_direct_award,organization,MILLE SERVIZI SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,13e1fc1240db5e1bc2d862bfbc5e8c4e5c9a98b2e89aa0ed952e9bdfede28a97,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,1332.11,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20527_566_1.html,org_srl
organization_awarded_direct_award,organization,TECHNOLOGIES 2000 SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,d74e9e58bf4f9c3ecda6439af79798f7d47d264de7148d71f451029dda86f9c5,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,2000.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20530_566_1.html,org_srl
organization_awarded_direct_award,organization,COOPERATIVA SOCIALE PROD84,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,61695da007c118dfeaf3e884d3cda594c9beb69b3f0973392a61719cd97d8776,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,7800.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20532_566_1.html,org_cooperativa
person_awarded_direct_award,person,ING. LIBORIO MACALUSO,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,d0a83fb7fc85afcffbf176499765cc0462fa43e924cfe78122657eb41ef64155,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,900.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20540_566_1.html,per_ing
organization_awarded_direct_award,organization,FIORINI IMPIANTI GROUP SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,cb0bad927fabc7badca2759428a037f5c317e4c14776566232ab5cc205591e21,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,2224.06,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20543_566_1.html,org_srl
