relation_type,subject_type,subject_key,object_type,object_key,source_dataset,source_record_id,period,acquisition_date,confidence_note,amount_if_present,ipa,source_url
cig_linked_to_entity,cig,B10F6FF5CE,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,f4d0bf8eafc416869185bec9572efc53ff3ab1b8c89af1eb1ef1383e2b662d37,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,10920.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2342411/CIG-B10F6FF5CE_Det-aut-all_08.04.2024.zip
cig_linked_to_entity,cig,B165167AEC,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,5e338c1df1307a1b777d9efd3d0c78a19412ede8babda3c17d9de1cf1d9c3c95,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,70000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2366102/CIGB165167AEC_determina_24.04.2024.zip
cig_linked_to_entity,cig,B16C72FD23,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,176b9b71432f74388037db1d0c2abac224dbf210d1b18c47437ef720202e257a,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,60000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2374426/CIG-B16C72FD23_det-aut-all_30.04.2024.zip
cig_linked_to_entity,cig,B16CA05443,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,722a27b640a0a4d4c5b7d58a8a8cd082ef622fed14d4eb291a70267a26182622,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,108512.8,aifa_rm,https://www.aifa.gov.it/documents/20142/2387462/CIG-B16CA05443_Det-aut-all_09.05.2024.zip
cig_linked_to_entity,cig,B1E605C2DE,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,9926986f3cd01ec646f5507b3bfd45435e553ee4cf5f20c4467138176da88f11,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,41288.28,aifa_rm,https://www.aifa.gov.it/documents/20142/2412348/CIG-B1E605C2DE_Det-aut-all_31.05.2024.zip
cig_linked_to_entity,cig,B20240D23D,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,64c86487cdc9ba67c45be29ab4eaf88b2495ca91da0b2aef01d827ff3b0d1230,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,2200.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2459706/CIG-B20240D23D_Det-nomina-DEC_12.12.2024.zip
cig_linked_to_entity,cig,B20FB4D37F,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,e4e1eac041ea5d6307e21087391adac36cd175a976be4b7fbeac8676fd91feeb,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,36864.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2449706/CIGB20FB4D37F_det_all_19.06.2024.zip
cig_linked_to_entity,cig,B23EB53A5E,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,7af1883374b47befe492cd34efa75bcdf3673f561e0f267e1ddffb3773fcb474,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,19150.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2473120/CIG-B23EB53A5E_Det-aut-all_15.07.2024.zip
cig_linked_to_entity,cig,B243141F8F,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,ba080afffd5571cea410c94bff1364a854da453b9549e27e35d38e12fbc3714e,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,27000.48,aifa_rm,https://www.aifa.gov.it/documents/20142/2468604/CIGB243141F8F_det_all_04.07.2024.zip
cig_linked_to_entity,cig,B25731CA12,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,57321679256aa02cbcfd35dc4693db26bd6a1bd1729adc6efc2a85104a2e0b83,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,29000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2469519/CIGB25731CA12_det_all_08.07.2024.zip
cig_linked_to_entity,cig,B26375FFE6,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,073cd45bdf6c2c6500e02b59a3974e7b6c5241537896b788671ac3de1f7b817b,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,13900.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2479275/CIGB26375FFE6_determina_allegati_26.07.2024.zip
cig_linked_to_entity,cig,B27196BA17,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,4331d6dbbf3091cae530f4792ed9b01b1157239c71075d3ffa2cf93921409ae2,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,68400.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2475389/CIGB27196BA17_determina_all_19.07.2024.zip
cig_linked_to_entity,cig,B271A81F7F,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,b2dfbd5f83c7302af24b3bd64fa7084842a8cd194e3a02dd45cffdea514d9d12,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,15395.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2473428/CIGB271A81F7F_determina_all.zip
cig_linked_to_entity,cig,B288043AA9,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,dd2c861ef7bb4d70e648adf16b5236602ed43ab27aa6d6fc912e24e899142aa4,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,36500.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2479331/CIG-B288043AA9_Det-aut-all_26.07.2024.zip
cig_linked_to_entity,cig,B28DA715D6,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,b43e828aadea589ddc7aa7238d269d71bdca151aa8deecaca687cca4214e3646,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,41140.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2483410/CIGB28DA715D6_determina_all_05.08.2024.zip
cig_linked_to_entity,cig,B28E770F5A,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,2090b274557d5af6af97ce79eabcc845376424520a26718e666767eced6b72e3,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,30000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2480896/CIG-B28E770F5A_Det-aut-all_30.07.2024.zip
cig_linked_to_entity,cig,B2FDFE0FD7,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,f8a6414d33d2932a9f3e298eafed3eff8b39db1249d62086b54f3f5e44c4dfa6,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,39555.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2503933/CIGB2FDFE0FD7_determina_allegati_12.09.2024.zip
